sentence,score
이걸 영화라고....,1
너무 재밌어요 크리스마스때 그냥 개봉하시지 ㅠㅅㅠ 흥했으면 좋겠습니다 ,10
눈물이 살짝 없는 편이라 걱정했었는데 너무 슬펐다 후반부에 급발진이 심해서 놀라움 플러스 슬픔 후반이 너무 슬펐는데 눈물이 고이기만 했고 흐르진 않았다 그렇지만 최근에 본 영화 중 제일 재밌고 슬픈 영화였다 친구들은 영화 끝나고도 울었다 후유증엄청난영화다,10
프랑스영화 &amp;#34;미라클벨리에&amp;#34; 여주 가창력이 소름돋아요. 그에 비해 미국 여주는 가창력이 형편없네요. 아카데미 작품상이라 시청했는데 이정도가 작품상이라 놀랐음,10
너무 과소평가 되었네요. 볼거리가 정말 많으면서도 중간중간에 가슴을 울리는 대사와 장면도 등장하고 판타지 모험 영화답게 신비스러운 분위기도 잘 구현해냈으며 스토리도 탄탄하고 ost도 너무 좋습니다. 그냥 최고!,10
"일본로맨스 영화의 전형적인 전개이나,갑작스런 사연으로 인한 감정선 파괴",7
기대한만큼  마음을 울리는영화였습니다.뮤지컬도 보고싶어집니다연기력 또한 몰입도에 영향을미쳤습니다정말 그런 존경스러운 분들이 계시기에우리가 있구나 생각을 해보며 우리나라 영웅들께 감사함을 느낍니다,10
"모든 배우들의 열연에 감동했고, 정성화배우의 아바드림으로? 안중근의사가 다녀간 느낌이었습니다. 누가 죄인인가? 별점 테러 위해 로그인하게 만든 죄~ 키보드 두드리고 갑니다.",10
절대 보지 마세요.완전 지루하고 노잼입니다.평점이 도저히 이해가 안갑니다.돈이 너무 아깝습니다. ,1
와..잼있네요기억에남겠어요,10
그렇게 no japan 하고싶냐?,1
나도 저렇게 동네에서 아이들과 놀았었는데.저녁이 되면 여기저기서 밥냄새와 아이들 부르는 소리도 있었고. 사는건 다 똑같아.,8
그냥 노래만 시작되면 영화내내 계속 울었어요...그냥 배우님들이 최고임ㅇ 외쳐 갓성화....,10
기존의 저예산 영화들과 뭔가 좀 결이 다른 느낌 독립영화와 상업영화 사이 그 어딘가 ,10
반전에 반전을 거듭한 명작.,10
"당신이 미결인 부분이 존재한다면, 더욱 가슴이 먹먹해지는 영화",10
연필로 복지란 글자를 힘껏 쓰다 심이 부러짐,5
뛰는 놈 위에 나는 놈 그 위에 보는 놈,4
시간 가는 줄도 모르고 봤어요울다 웃다 먹먹함 꼭 영화관에서 봐야 하는 작품입니다. ,10
인생에 중요한게 뭔가 느겨짐,10
나문희가 수의 짤 때 감동적 ,10
어린시절 감동을 떠올리게하며 역시 좋았다,10
"정우성의 후반부 대사에 &amp;#34;왜, 그러지마&amp;#34;라고 진심이 나도 모르게 나왔음",8
어릴때 슬램덩크 때문에 농구를 좋아하게된 어른입니다 ㅠㅠ 10대의 추억 대부분이 슬램덩크와 함께한 시간들.. 태어나서 첨으로 애니를 보러 영화관에 들렀습니다.. 울부짖으며 봤습니다 사랑한다 북산 ㅠㅠ,10
이미 수십번 봤던 내용 그대로다 영화를 다 보고나면 슬램덩크 내용이 생각나는게 아니라 어릴때 1년에 한권 나오는 슬램덩크 신권을 기다리며 봤던거 보고 또 봤던 생각이 난다.,8
감동 같은 것은 없지만 시간은 참 빨리 간다는 생각이 들었음.주인공 대가리 너무 좋아서 권선징악이 없다는 점이 아쉬움.킬링타임용으로는 잘 만든 영화인 듯.,8
뮤지컬 영화 색다르네요,8
그냥 열번보자. 계속 보자.,10
