sentence,score
영화관에서 혼자 다시보고싶다...,10
이게 뭐얔 ㅋㅋ 꼭보시길,2
슬램덩크라는 불씨는 영영 꺼지지 않을 거야.,10
"연기 진짜 다들 잘하고, 스토리도 괜찮은데 왜 평점이 낮은지 모르겠음 ㅠㅠ 꼭 봤으면",10
"엄마와 딸 간의 모성애 부분이 감성적이라 좋았고 강수연,김현주님 오랜만에 봐서 반가웠네요, 전 기대없이봐서그런지 나름 재밌게 봤어요",10
너무 기대했나..스토리를 너무 질질끌어서 런닝타임 늘린느낌..지루했어요 ㅠ ,4
개인적으로 8점이상은 됨.평점 낮아서 안보다가 이제야봣음. 그냥 보세요,10
"꼭 이렇게 연출,연기가 부실해야만 속이 후련했냐? 니네 그러면 안됐써어.",4
연출이면 연출 배경음악이면 배경음악 어디 빠지는게 하나 없어요,10
최고의 뮤지컬 영화 레미제라블과도 견줄만하다,10
기대 이상이었습니다.,10
드라마 팬이라 영화에서 둘이 행복한모습만 봐도 행복하고 울컥한거 있음 근데 너무 복잡하고 짧은시간안에 다 표현할려다 보니 좀 어려웠음 그래도 반가운 배우랑 잘생긴 얼굴 크게보니 좋았어요,10
진짜 영화 보면서 여운이라 걸 느낀 적이 어뵤는 나에게 일상생활 못하게 만들어준 영화다..해바라기나 머리핀 보면 걍 자동 울음임 ㅠㅡㅠ,10
평화를 사랑합시다,10
다음편도 빨리 나오면 좋겠어요 기대됩니다.,10
제대로 킹받는 코믹 호러 영화 메간 노래 잘 불러서 더 킹받음ㅋㅋㅋ 음색이 옥구슬임 ,10
"공포,스릴러 영화라고 소개되지만 공포도 스릴러도 없는 영화. 기대없이 보기에는 괜찮아요. ",4
애 둘 입양하고 우울증 걸린 나에게 바치는 영화.,7
그냥 꼭 보세요 진짜 재밌음,10
일주일전에 봤어요. 대충 시간 맞는 영화 선택해서 본 건데 일주일째 영웅앓이 중입니다 ㅜ.ㅜ 정성화 배우님의 신들린듯한 연기..노래..여운이 아직까지 남아서 이번 주말에 또 보러가려고 합니다. ,10
소닉이라 봄,6
오페라의 유령은 역시 공연실황이 진리다..,6
천우희배우님땜에 봄 영화늘 괜찮음,6
